id,path,width,height,alpha,role,renders_in,screen,variant_of,classification,priority,target_dimensions,format,safe_margins,sheet_layout,notes
SY-08,symbols/m2.png,240,240,yes,Mid-high symbol (coil),"GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,"3px vertical headroom, the idle bobs",,"Plate colour #8a5cff. Idle class idle-coil translates the body -3px, so leave headroom inside the cell."
SY-09,symbols/m3.png,240,240,yes,"M3 Holographic Dash Readout, mid symbol","GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred; flicker area is a separate sheet,,"Plate colour #5dff3c. ROLE CORRECTED 2026-08-24 (R086, ratified by owner paste of the brief): this is the HOLOGRAPHIC DASH READOUT, not the booster. The earlier role text was a transcription error. Consequently the FX-01 overlay sheet semantics become the HOLO FLICKER sheet rather than a booster flame; its LAYOUT SPEC IS UNCHANGED at six frames of 200x200 packed left to right in one 1200x200 row. The base idle stays deliberately minimal because the real motion lives on that overlay sheet."
SY-10,symbols/l1.png,240,240,yes,L1 Lug Nut,"GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred,,"Plate colour #ffd700. Idle class idle-glint: a facet glint sweep, so the art wants a facet to catch it."
SY-11,symbols/l2.png,240,240,yes,"L2 Spark Plug, low","GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,art centred; arc area is a separate sheet,,Plate colour #9adcff. Base idle near-flat because l2_fuse_sheet carries the visible motion.
SY-12,symbols/l3.png,240,240,yes,"L3 Piston, lowest pay","GameGrid reels, PaytableModal","Reels, paytable",,REPLACE,P1,240x240,TRANSPARENT PNG,"7px crown headroom, the idle pumps",,"Plate colour #ff7a2e. Idle class idle-pump translates -7px, so the crown needs headroom inside the 82% cell inset."
SY-13,symbols/tile_plate.png,244,204,yes,The dark rounded cell plate behind EVERY symbol,"GameGrid, unconditional first child of every .tile-inner",Reels,,REPLACE,P1,244x204,TRANSPARENT PNG,fills the cell; corner radius must match the grid,,"Sits behind all 5 columns x 7 strip slots with no per-symbol branch (GameGrid.svelte:1181-1213). Changing it changes the whole reel field, so it is the single highest-leverage tile in the set."
SC-01,backgrounds/bg_base.jpg,1920,1080,no,"Rain-soaked neon megacity skyline, the base backdrop","App.svelte:2922-2932, 100vw x 100vh, object-fit cover, opacity 0.92",Every screen,,REPLACE,P2,1920x1080,OPAQUE JPEG,must survive a cover crop at both wide and tall aspects,,The dominant surface in the game. Must stay dark enough under the HUD strip for white text to hold contrast.
SC-02,backgrounds/bg_overdrive.jpg,1920,1080,no,The same skyline under a hotter grade,"App.svelte:2934-2941, crossfades over 0.6s",Overdrive free spins,backgrounds/bg_base.jpg,REPLACE,P2,1920x1080,OPAQUE JPEG,identical framing to bg_base,,"DERIVED, NOT AUTHORED: it is a colour grade of bg_base at identical geometry. Supply as a matched pair or the crossfade will jump."
SC-03,frames/frame-2.png,800,640,yes,The neon bezel around the reel window,"App.svelte:3088-3098, drawn into 640x468 at stage (320,84)",Main game,,REPLACE,P2,800x640 source,TRANSPARENT PNG,see the squash note,,"DEFECT TO FIX IN THE REPLACEMENT: object-fit is FILL, so the 800x640 source is NON-UNIFORMLY SQUASHED to 640x468, 0.800 in x against 0.731 in y. Either author at the true 640x468 aspect or the engine call site changes."
SC-05,ui/scene_car.png,2840,1000,yes,"The hover car, lower-left scenery","SceneGroup, desktop only","Base game, left gutter",,REPLACE,P2,2840x1000,TRANSPARENT PNG,wide letterbox; anchored lower-left,,The largest single raster in the kit at 1012KB. A like-for-like replacement is the biggest available byte saving.
SC-06,ui/scene_character.png,680,1344,yes,"The pilot mascot, presented as a feature hero","SceneGroup, desktop only","Base game, left gutter",,REPLACE,P2,680x1344,TRANSPARENT PNG,tall portrait; full-bleed bottom,,"614KB. The studio's only character asset, so it carries more brand weight than its size suggests."
DOC-01,ui/spin_button.png,200,200,yes,Interface Guide icon for the SPIN control,PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,"NOT UI ART. The live control is CSS plus inline SVG in HudOverlay (':1708 Replaces spin_button.png'). This file is a HEADLESS SCREENSHOT of the running control, produced by frontend/scripts/regen_interface_guide_icons.mjs. To change it, restyle the live control and re-run that script. A hand-drawn replacement would drift from the button it documents, which interface_guide_icon_proof.mjs exists to catch."
DOC-02,ui/btn_bet_plus.png,200,200,yes,"Interface Guide icon, increase bet",PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,"As DOC-01: regenerated from the live control, not drawn."
DOC-03,ui/btn_bet_minus.png,200,200,yes,"Interface Guide icon, decrease bet",PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,As DOC-01.
DOC-04,ui/btn_max.png,200,200,yes,"Interface Guide icon, max bet",PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,As DOC-01.
DOC-05,ui/btn_autoplay.png,200,200,yes,"Interface Guide icon, autoplay",PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,As DOC-01.
DOC-06,ui/btn_menu.png,200,200,yes,"Interface Guide icon, menu",PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,As DOC-01.
DOC-07,ui/btn_turbo.png,200,200,yes,"Interface Guide icon, speed NORMAL",PaytableModal Interface Guide only,Paytable,,REGEN,P3,200x200,TRANSPARENT PNG,-,,"SPEED STATE 1 OF 3 = NORMAL. The three turbo icons encode speed by INTENSITY ALONE, no numeral and no caption. They must stay monotonic and separable at a glance, and must stay byte-distinct or interface_guide_icon_proof.mjs fails."
DOC-08,ui/btn_turbo_2.png,200,200,yes,"Interface Guide icon, speed TURBO",PaytableModal Interface Guide only,Paytable,ui/btn_turbo.png,REGEN,P3,200x200,TRANSPARENT PNG,-,,SPEED STATE 2 OF 3 = TURBO.
DOC-09,ui/btn_turbo_3.png,200,200,yes,"Interface Guide icon, speed SUPER TURBO",PaytableModal Interface Guide only,Paytable,ui/btn_turbo.png,REGEN,P3,200x200,TRANSPARENT PNG,-,,SPEED STATE 3 OF 3 = SUPER TURBO. No animation on any of the three: a pulse passes Turbo through Super Turbo brightness and the two stop being distinguishable (HudOverlay.svelte:1650).
DOC-10,ui/feature_button.png,224,224,yes,FEATURES control face,PaytableModal Interface Guide AND BuyBonus.svelte:117 buy-header-art,Paytable and the buy dialog header,,REGEN,P3,224x224,TRANSPARENT PNG,"square, centred",,"DUAL ROLE, and it is the one file in the set with both. It is REGENERATED by frontend/scripts/regen_interface_guide_icons.mjs as one of its ten targets, AND it renders live as the buy dialog header art. A hand-drawn replacement would therefore be overwritten by the next icon regen. To change it, restyle the live FEATURES control and re-run the regenerator."
UI-01,ui/gauge_face.png,464,464,yes,The Overdrive multiplier meter dial,"BonusInstrumentColumn.svelte:85, FreeSpinsPresentation.svelte:482","Free spins, instrument column and entry card",,REPLACE,P3,464x464,TRANSPARENT PNG,dial centred; needle pivot at exact centre,,"DEFECT, CONFIRMED IN CODE AND BY EYE: the dial has a NEEDLE BAKED IN at 62 degrees, because it is a whole render of H2_master_v31.svg including its needle group. The live gauge_needle sprite rotates on top, so the shipped meter shows TWO needles. THE REPLACEMENT MUST BE NEEDLE-FREE. The pipeline already knew: manifest.json:38 declares a needle-free gauge_base as the intended under-layer, which nothing ever referenced."
UI-02,ui/gauge_needle.png,464,464,yes,The meter needle sprite,"BonusInstrumentColumn.svelte:88, rotated by transform",Free spins,ui/gauge_face.png,REPLACE,P3,464x464,TRANSPARENT PNG,pivot at exact image centre,,"Live sweep is -110 to +110 degrees for 1x to 16x. THE ART IS DRAWN PRE-ROTATED TO +62 DEGREES, so every angle is 62 degrees off what the art shows. Supply at the same baked 62 degrees, or supply at 0 and correct the call site in the same change."
UI-04,ui/jet_nozzle.png,160,160,yes,Jet nozzle assembly at the frame edges,FlameJets.svelte:160-166,"Base game frame edges, all 8 jets",,REPLACE,P3,160x160,TRANSPARENT PNG,art centres exactly on the jet origin,,"Placed at left:-80 top:-80 so the 160x160 centres on the origin point, then inherits the jet rotation."
UI-05,ui/logo.png,600,120,yes,FUTURE SPINNER wordmark,splash and chrome,Boot splash,,REPLACE,P3,600x120,TRANSPARENT PNG,wordmark with even side bearing,,Title wordmark. Must sit with the KEPT emblem without competing with it.
FX-01,symbols/m3_flame_sheet.png,1200,200,yes,6-frame flipbook of the M3 booster flame,"GameGrid, overlaid on m3",Reels,symbols/m3.png,REPLACE,P4,1200x200,TRANSPARENT PNG,"no padding, no margin between frames","6 frames of 200x200, single row, left to right","EXACT LAYOUT MUST BE HONOURED: 6 frames, 200x200 each, packed left to right in one row, total 1200x200."
FX-02,symbols/l2_fuse_sheet.png,800,200,yes,4-frame flipbook of the L2 electrical arc,"GameGrid, overlaid on l2",Reels,symbols/l2.png,REPLACE,P4,800x200,TRANSPARENT PNG,"no padding, no margin between frames","4 frames of 200x200, single row, left to right","EXACT LAYOUT MUST BE HONOURED: 4 frames, 200x200 each, one row, total 800x200."
FX-03,ui/jet_flame_sheet.png,1200,120,yes,5-frame flame strip for the frame jets,FlameJets,Base game frame edges,,REPLACE,P4,1200x120,TRANSPARENT PNG,no padding between frames,"5 frames of 240x120, single row, left to right","EXACT LAYOUT MUST BE HONOURED: 5 frames, 240x120 each, one row, total 1200x120."
FX-04,ui/jet_flame_static.png,240,120,yes,Still flame used when motion is reduced,"FlameJets, reduced-motion path",Base game frame edges,ui/jet_flame_sheet.png,REPLACE,P4,240x120,TRANSPARENT PNG,identical registration to a sheet frame,,"IT IS LITERALLY FRAME 3 OF THE SHEET, verified pixel-identical. Export it from the same replacement sheet rather than drawing it separately."
FX-05,ui/particles/coin.png,40,40,yes,Gold coin for the win-banner coin fountain,WinBanner.svelte:170,EPIC tier win celebration only,,REPLACE,P4,40x40,TRANSPARENT PNG,"centred, small",,"Spawns on EPIC tier only, and only when reduced motion is off."
FX-06,ui/particles/shock_ring.png,128,128,yes,"Expanding impact ring, the most reused particle","HeroSplash:203-218, WinBanner, and a third consumer","Boot splash, big-win banner",,REPLACE,P4,128x128,TRANSPARENT PNG,radially symmetric about the centre,,"THREE different spawn contexts. On the boot splash it is a STEADY presence at 42% opacity in screen blend over the emblem, so it must sit against the KEPT emblem without fighting it."
FX-07,ui/particles/smoke_puff.png,56,56,yes,Soft smoke wisp,FreeSpinsPresentation.svelte:638,"Overdrive entry, flare and dip stages",,REPLACE,P4,56x56,TRANSPARENT PNG,"soft edges, no hard rim",,"Two wisps, static in the DOM, animated only during the entry sequence."
FX-08,ui/particles/spark.png,32,32,yes,Small cyan spark rising up the reel edge,GameGrid.svelte:1478-1479,"Reels, scatter anticipation, focal reel only",,REPLACE,P4,32x32,TRANSPARENT PNG,"tiny, centred",,"Spawns on a scatter anticipation hold and ONLY on the focal reel (.col-focus, not .col-anticipate)."
