id	sev	disposition	why	source	symptom_at_head	fix_size	fix_location	locked_path
S2-C011	STREAM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C012	STREAM	PARKED	CAUSE DERIVED (wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)	YES	SMALL	frontend/src/app.css:143 (the one line that closes the visible defect), within a replacement of :139-144	
S2-C013	STREAM	PARKED	CAUSE DERIVED (wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived	PARTIAL	SMALL	frontend/src/lib/components/HudOverlay.svelte:288, plus one new export in frontend/src/lib/utils/currency.ts immediately after :311	
S2-C014	STREAM	PARKED	owner decision required; re-derivation (wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived) returned PARK	wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived	YES	PARK	NONE	
S2-C015	STREAM	PARKED	owner decision required; re-derivation (wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived) returned PARK	wave-a:SHARD_B — Currency formatting (frontend/src/lib/utils/currency.ts), 5 findings re-derived	YES	PARK	NONE while parked. A ruled fix lands as a new exact-win formatter in frontend/src/lib/utils/currency.ts (after :389) plus the eight call sites enumerated above; it must NOT be a change to formatBalance.	
S2-C016	STREAM	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C017	STREAM	PARKED	CAUSE DERIVED (wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)	YES	SMALL	frontend/src/app.css:160-163	
S2-C019	STREAM	PARKED	LARGER THAN SMALL; needs its own surgical brief per protocol rule 6	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	PARTIAL	LARGER_THAN_SMALL	frontend/src/App.svelte:1445 and :1523-1537 are the surface to be covered; the fix lands as a new browser assertion, most cheaply as an extra leg beside .github/workflows/checks.yml:850-853	
S2-C020	STREAM	FIXED	Q-26 swept, 6 instances in prose.ts. Gate multiplication_sign_gate.mjs (seeded). Re-proof reports/qa/session4b/social_string_conformance_2026-07-30_q26_reproof.json. Commit fec8d61	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	YES	SMALL	frontend/src/lib/i18n/prose.ts:90, :94, :189, :192 (the six instances); the comment at frontend/src/lib/i18n/prose.ts:77 needs no edit once they are swept, because the sweep makes it true	
S2-C021	STREAM	FIXED	Q-26 swept, 45 instances in prose.locales.ts, enumeration completed at 51 before the fix. Gate multiplication_sign_gate.mjs (seeded). Re-proof as S2-C020. Commit fec8d61	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	PARTIAL	SMALL	frontend/src/lib/i18n/prose.ts:90, :94, :189, :192 (6 instances); frontend/src/lib/i18n/prose.locales.ts:44, :48, :120, :124, :196, :200, :272, :276, :348, :352, :424, :428, :500, :504, :576, :580, :652, :656, :728, :732, :804, :808, :880, :884, :956, :960, :1032, :1036, :1108, :1112 (30 lines, 45 instances); frontend/scripts/social_string_conformance.mjs:29, :30, :149 (3 expected literals)	
S2-C022	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	SMALL	COMPLIANCE_WATCH.md:19-20	
S2-C023	HIGH	PARKED	LARGER THAN SMALL; needs its own surgical brief per protocol rule 6	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	LARGER_THAN_SMALL	NONE	
S2-C024	HIGH	PARKED	CAUSE DERIVED (wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)	YES	SMALL	frontend/scripts/layout_fit_gate.mjs:190, plus a new matrix entry at .github/workflows/checks.yml:814	
S2-C025	HIGH	PARKED	CAUSE DERIVED (wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)	YES	ONE_LINE	frontend/scripts/max_win_hold_gate.mjs:310	
S2-C026	HIGH	PARKED	LARGER THAN SMALL; needs its own surgical brief per protocol rule 6	wave-a:DEI (app.css scaffold remnants + HudOverlay.svelte)	YES	LARGER_THAN_SMALL	frontend/scripts/check_autoplay_confirm_gate.mjs (rewrite of the detector, plus a new --self-test branch), then a new static-gate step at .github/workflows/checks.yml:749	
S2-C027	HIGH	STRUCK	re-derivation (wave-a:FG) found nothing to fix; symptom PARTIAL	wave-a:FG	PARTIAL	NO_FIX_NEEDED	NONE	
S2-C028	HIGH	PARKED	CAUSE DERIVED (wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md	PARTIAL	SMALL	frontend/scripts/replay_contract_gate.mjs:311 (immediately after the existing REQ-077 optional-parameter block)	
S2-C029	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C030	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md) refuted it	wave-a:A2 - replay surface (HIGH + MEDIUM) and REPLAY_TEST_EVENTS.md	NO	NO_FIX_NEEDED	NONE	
S2-C031	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)) refuted it	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	NO	NO_FIX_NEEDED	NONE	
S2-C032	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C033	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C035	HIGH	PARKED	CAUSE DERIVED (wave-a:FG), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:FG	YES	SMALL	New file frontend/scripts/prohibited_mechanic_gate.mjs, plus a new step in the static job of .github/workflows/checks.yml near :331	
S2-C036	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	SMALL	design-system/DESIGN_SYSTEM.md:8-9	
S2-C037	HIGH	PARKED	CAUSE DERIVED (wave-a:FG), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:FG	YES	SMALL	New file frontend/scripts/stake_mark_gate.mjs, plus a new step in the static job of .github/workflows/checks.yml immediately after :348	
S2-C038	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)) refuted it	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	NO	NO_FIX_NEEDED	NONE	
S2-C039	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)) refuted it	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	NO	NO_FIX_NEEDED	NONE	
S2-C040	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)) refuted it	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	NO	NO_FIX_NEEDED	NONE	
S2-C041	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)) refuted it	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	NO	NO_FIX_NEEDED	NONE	
S2-C042	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)) refuted it	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	NO	NO_FIX_NEEDED	NONE	
S2-C043	HIGH	STRUCK	symptom is NOT real at HEAD; re-derivation (wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)) refuted it	wave-a:SHARD_C, the i18n prose layer (prose.ts, prose.locales.ts, sixteen locales)	NO	SMALL	frontend/src/lib/i18n/disclaimer_conformance.test.ts:204-220 (the social branch of auditDisclaimers)	
S2-C044	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	frontend/scripts/dist_hygiene_gate.mjs:126-131	
S2-C045	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	PARTIAL	SMALL	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:170 (the summary) and :3-6 (the source block)	
S2-C046	HIGH	PARKED	owner decision required; re-derivation (wave-a:NOQR) returned PARK	wave-a:NOQR	YES	PARK	NONE	
S2-C047	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C048	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	.github/workflows/checks.yml:293-297 (a new step beside "Install frontend dependencies") plus a script entry at frontend/package.json:13	
S2-C049	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	.github/workflows/checks.yml:297 (add the scan step immediately after the static-job `npm ci`)	
S2-C050	HIGH	PARKED	CAUSE DERIVED (wave-a:FG), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:FG	PARTIAL	SMALL	frontend/src/lib/config/paytable_parity.test.ts:45 (add a proseLocales path), :114-118 (matchAll instead of match, over both prose files), a new assertion block after :191, and two new seeds in the self-test block after :237	
S2-C051	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	.github/workflows/checks.yml:297 (inventory step in the static job) with the committed inventory living under reports/qa/	
S2-C052	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	frontend/scripts/dist_hygiene_gate.mjs (add the assertion) wired at .github/workflows/checks.yml:708-710, OR wire frontend/scripts/build_diet_verify.mjs as a browser leg at checks.yml:850-853	
S2-C053	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	SMALL	docs/RGS_CONTRACT_REFERENCE.md:3-11	
S2-C054	HIGH	PARKED	LARGER THAN SMALL; needs its own surgical brief per protocol rule 6	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	LARGER_THAN_SMALL	.github/workflows/checks.yml:806-853 (the runs-on and the strategy block) plus every frontend/scripts/*_gate.mjs launch call, e.g. frontend/scripts/replay_contract_gate.mjs:294	
S2-C055	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	PARTIAL	SMALL	OWNER_CHECKLIST.md:153 (and OWNER_CHECKLIST.md:138, OWNER_CHECKLIST.md:149)	
S2-C056	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:206-212	
S2-C057	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C058	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	.github/workflows/checks.yml:850-853 (add a twelfth matrix leg running frontend/scripts/build_diet_verify.mjs, which needs chromium)	
S2-C059	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	SMALL	frontend/scripts/provider_logo_derivation.mjs:224	
S2-C060	HIGH	PARKED	SANCTION REQUEST: the fix requires EDITING the locked path frontend/src/lib/services/rgsService.ts	wave-a:SHARD_H: the bet ladder (betLadder.ts) and the rows filed at the LOCKED rgsService.ts	PARTIAL	LARGER_THAN_SMALL	frontend/src/lib/services/rgsService.ts:799-807	frontend/src/lib/services/rgsService.ts
S2-C061	HIGH	PARKED	SANCTION REQUEST: the fix requires EDITING the locked path frontend/src/lib/services/rgsService.ts	wave-a:SHARD_H: the bet ladder (betLadder.ts) and the rows filed at the LOCKED rgsService.ts	YES	SMALL	frontend/src/lib/services/rgsService.ts:735 (add one line beside the existing passthrough), with a new non-locked store frontend/src/lib/stores/rgsBetLimits.ts and a guard in frontend/src/lib/stores/betLadder.ts:39-41	frontend/src/lib/services/rgsService.ts
S2-C062	HIGH	PARKED	owner decision required; re-derivation (session3:JOB4) returned PARK	session3:JOB4	YES	PARK		
S2-C063	HIGH	STRUCK	re-derivation (wave-a:FG) found nothing to fix; symptom PARTIAL	wave-a:FG	PARTIAL	NO_FIX_NEEDED	NONE	
S2-C064	HIGH	PARKED	SANCTION REQUEST: the fix requires EDITING the locked path frontend/src/lib/services/rgsService.ts	wave-a:SHARD_H: the bet ladder (betLadder.ts) and the rows filed at the LOCKED rgsService.ts	YES	SMALL	frontend/src/lib/stores/betLadder.ts:39-41 (the clamp), fed by the one-line passthrough at frontend/src/lib/services/rgsService.ts:735	frontend/src/lib/services/rgsService.ts
S2-C065	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	SMALL	design-system/DESIGN_SYSTEM.md:8-9	
S2-C066	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	PARTIAL	SMALL		
S2-C067	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	ONE_LINE	COMPLIANCE_WATCH.md:148 (the one-line correction). Second, optional SMALL fix at frontend/scripts/check_autoplay_confirm_gate.mjs:27 and .github/workflows/checks.yml:462.	
S2-C068	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C069	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_L — brand and asset provenance (design-system paths, delivery PNGs, hero icon, tile masters)	YES	SMALL	scripts/assets/manifest.json:121-123	
S2-C070	HIGH	PARKED	CAUSE DERIVED (wave-a:PK), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:PK	PARTIAL	SMALL	reports/qa/file_census/CENSUS_MECHANICAL.md:60-88	
S2-C071	HIGH	PARKED	CAUSE DERIVED (wave-a:PK), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:PK	YES	SMALL	reports/qa/file_census/CENSUS_MECHANICAL.md:20	
S2-C072	HIGH	PARKED	CAUSE DERIVED (session3:JOB4), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	session3:JOB4	YES	SMALL		
S2-C073	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	ONE_LINE	SUBMISSION_DOSSIER.md:262	
S2-C074	HIGH	PARKED	CAUSE DERIVED (wave-a:NOQR), fix specified as ONE_LINE, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:NOQR	YES	ONE_LINE	BOOKS_MANIFEST.md:32	
S2-C075	HIGH	PARKED	CAUSE DERIVED (wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:SHARD_J — App.svelte boot ordering, main.ts, vite.config.ts, package.json, CI workflow files (11 findings)	YES	SMALL	.github/workflows/publish-stake-engine.yml:71	
S2-C076	HIGH	PARKED	owner decision required; re-derivation (session3:JOB4) returned PARK	session3:JOB4	YES	PARK		
S2-C077	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:155	
S2-C078	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:160-162	
S2-C079	HIGH	PARKED	CAUSE DERIVED (wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:Squad M — SUBMISSION_DOSSIER.md submission-bundle claims and arithmetic (10 findings: S2-C044, C056, C073, C077, C078, C079, C082, C083, C097, C106). Read-only pass; no repository file created or modified. Derived at HEAD 8058b06e2749f1653c72004a68baf3b6da1fb77d, 2026-07-30.	YES	SMALL	SUBMISSION_DOSSIER.md:156-157	
S2-C080	HIGH	PARKED	CAUSE DERIVED (wave-a:PK), fix specified as SMALL, NOT APPLIED: this session's fix batch closed after MID-01	wave-a:PK	YES	SMALL	frontend/scripts/dist_hygiene_gate.mjs:239-240	
