cluster	sev	family	disposition	file	path	finding
S2-C026	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/components/HudOverlay.svelte	`frontend/src/lib/components/HudOverlay.svelte:179-195, click sites :515, :751, :957`	Gate text: "it asserts `isAutoPlay.set(true)` appears in EXACTLY ONE place in the whole frontend, and that occurrence sits inside a function reachable only from a real `on:click` handler in the same file. If a future change ever added a sec
S2-C027	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/components/PaytableModal.svelte	`frontend/src/lib/components/PaytableModal.svelte:66-83 against games/future_spinner/game_config.py:119-127`	Frontend: `{ name: 'H1', file: 'h1', pays: [null, null, 1.5, 6, 22] }` ... `{ name: 'L3', file: 'l3', pays: [null, null, 0.08, 0.20, 0.65] }`, under the comment "matching the validated maths in games/future_spinner/game_config.py exactly".
S2-C028	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:56-118`	searched all 20 test files and `.github/workflows/checks.yml` for `parseReplayParams`: the only repository references are `App.svelte:20`, `App.svelte:41`, `ReplayMode.svelte:4`, `ReplayMode.svelte:86`, two prose comments in `currency.ts:96
S2-C029	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:59-71,125`	`` &mode=${mode}&event=${event}&rgs_url=rgs.stake-engine.com `` (the full six-parameter live shape, then the script requires `.start-replay` to become visible, which the mandatory-parameter throw would prevent) !rgsUrlRaw) {` / `` const url
S2-C030	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/services/replayService.ts	`frontend/src/lib/services/replayService.ts:124-131`	`await page.route('**/bet/replay/**', (route) => route.fulfill({` ... `await page.goto(`http://localhost:${PORT}/?${LIVE_QS(mode, event)}`)` The glob only proves the request lands under `/bet/replay/`; it never asserts the path segments car
S2-C031	HIGH	COMPLIANCE	UPHELD	frontend/src/App.svelte	`frontend/src/App.svelte:1169-1170 and frontend/src/lib/services/replayService.ts:131`	` // Skip all RGS initialisation in replay mode, ReplayMode handles its own flow` / ` if (isReplay) return` sits BEFORE `await initRGS(gameId, token)` at line 1182; the replay fetch is a bare public GET: ` const response = await fetc
S2-C032	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:25-31 (the five-mode table) and docs/REVIEW_EVENTS_PLAN.md:13-25 (the staging capture sheet)`	CI step: `- name: replay rounds` / `working-directory: frontend` / `run: npx tsx src/lib/services/replayRounds.test.ts`. The assertion the gate carries, `frontend/src/lib/services/replayRounds.test.ts:108-113`: `// Every ordinary round must
S2-C033	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:80-88 (the populate-and-review checklist) and DTT_PROTOCOL.md:243-269 (the staging procedure)`	Frame 01 opened: live DTT replay of `super` event `22975` at `Amount 750` EUR reaching `MULTIPLIER 5000.0x` / `WIN 3750000.00`, i.e. the 5,000x cap exercised through the replay endpoint on the live platform and captured. Tracker row records
S2-C035	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/config/fsModes.ts	`frontend/src/lib/config/fsModes.ts:71-117`	`labelKey: 'modeNormalLabel',` ... `cost: 1.0,` ... `serverMode: 'base',` ... `labelKey: 'modeSuperLabel',` ... `cost: 400,` ... `serverMode: 'super',` (five entries: base, cruise, antelite, bonus, super; no gamble, jackpot, collect or cash
S2-C036	HIGH	COMPLIANCE	UPHELD	design-system/brand/GENERATION_NOTE_background.md	`design-system/brand/GENERATION_NOTE_background.md:11-24`	\`frontend/public/assets/themes/future-spinner/backgrounds/bg_base.jpg\` `design-system/brand/GENERATION_NOTE_background.md:11-24`
S2-C037	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/components/PaytableModal.svelte	`frontend/src/lib/components/PaytableModal.svelte:62-64`	Opened. The rendered DISCLAIMER paragraph ends `Future Spinner™ and We Roll Spinners™ are trademarks of We Roll Spinners. © 2026 We Roll Spinners. All rights reserved.` with no Stake mark anywhere in the panel; `reports/screens/stream-test-
S2-C038	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:118`	no CI step, test assertion or captured assertion names this sentence; searched `.github/workflows/checks.yml`, all 20 test files, `frontend/scripts/*.mjs` (only `locale_prose_conformance.mjs` mentions "disclaimer", in comments at :18 and :2
S2-C039	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:118`	same search as REQ-010; nothing asserts the connection sentence `A stable internet connection is required to play.`
S2-C040	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:118`	`If your connection drops during a round, reload the game to finish any uncompleted round.` same search as REQ-010; nothing asserts the reload-after-disconnection sentence
S2-C041	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:118`	`The theoretical return to player is calculated over many thousands of plays and does not guarantee any result in a single session.` same search as REQ-010; nothing asserts the long-run-return sentence
S2-C042	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:118`	`This game display is for illustrative purposes only and does not represent a physical device.` same search as REQ-010; nothing asserts the illustrative-display sentence
S2-C043	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/i18n/prose.ts	`frontend/src/lib/i18n/prose.ts:118`	`Winnings are settled according to the result returned by the Remote Game Server, not from events shown in the web browser.` same search as REQ-010; nothing asserts the RGS-settles sentence
S2-C044	HIGH	COMPLIANCE	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:361 and :343; frontend/dist/build-info.json`	`7. Only then request review, with the blurb, for the exact uploaded versions.` and `- [ ] Re-upload both bundles (frontend + publish_files) for the exact new commit.`; `"version": "v10", "commit": "f0b7784348ff105c4d30576090817127a19ab1ef"
S2-C045	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md	`docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:1-6 and :160-170`	`The 58-item "Reference checklist for testing" on the Future Spinner Math page, captured and transcribed by the owner on 2026-07-26.`; summary table `PASS 31 / OBSERVE 14 / OWNER 8 / **FAIL** **3** (items 15, 25, 46) / **CONFLICT** **1** (i
S2-C046	HIGH	COMPLIANCE	UPHELD	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:62-63`	UNRESOLVED: the authoritative submission criteria list has never been read, because it sits behind portal auth; it must be captured on the owner's next login before submission can claim checklist coverage. \ "- **submission-checklist:** the
S2-C047	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:75-79`	"the validated maths exactly; spacebar spin; autoplay confirmation, no one-click consecutive bets; working sound disable; incremental win count-up; sixteen locales; social mode clean including first paint; static build, no external origins,
S2-C048	HIGH	COMPLIANCE	UPHELD	frontend/package.json	`frontend/package.json:6-13`	"\"scripts\": { \"dev\": \"vite\", \"build\": \"vite build\", \"preview\": \"vite preview\", \"check\": \"svelte-check --tsconfig ./tsconfig.app.json && tsc -p tsconfig.node.json\", \"assets\": \"...\", \"qa:soak\": \"node scripts/qa_soak.m
S2-C049	HIGH	COMPLIANCE	UPHELD	.github/workflows/checks.yml	`.github/workflows/checks.yml:179-183`	"- name: Install frontend dependencies / working-directory: frontend / # `npm ci` is reproducible and fails if the lockfile is out of sync. / # Playwright browsers are NOT installed: no suite here needs one. / run: npm ci --ignore-scripts"
S2-C050	HIGH	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/lib/components/PaytableModal.svelte	`frontend/src/lib/components/PaytableModal.svelte:72-83`	"const SYMBOLS = [ ... { name: 'H1', file: 'h1', pays: [null, null, 1.5, 6, 22] }, ... { name: 'L3', file: 'l3', pays: [null, null, 0.08, 0.20, 0.65] }, ] as const" against `games/future_spinner/game_config.py:119-127`: "self.paytable = { (
S2-C051	HIGH	COMPLIANCE	UPHELD	frontend/package.json	`frontend/package.json:24-28`	No licence inventory, SBOM or copyleft scan exists. Grep for `copyleft`, `GPL`, `third-party licen`, `sbom` over `docs/`, `scripts/`, `frontend/scripts/`, `reports/qa/` returns only the platform's own clause text plus `docs/records/reviews/
S2-C052	HIGH	COMPLIANCE	UPHELD	frontend/src/App.svelte	`frontend/src/App.svelte:198-201`	No gate asserts that no telemetry sink is registered in a production build, and none asserts the absence of a studio-side endpoint in `dist`. The only record is prose at `COMPLIANCE_WATCH.md:157-165`, "Telemetry confirmed no-op by default,
S2-C053	HIGH	COMPLIANCE	UPHELD	docs/RGS_CONTRACT_REFERENCE.md	`docs/RGS_CONTRACT_REFERENCE.md:1-7 (and the artefact inventory at SUBMISSION_DOSSIER.md:22-37)`	"# Stake Engine RGS wire-contract reference / An on-file reference for the Stake Engine RGS contract, extracted from the community **stake-dev-tool** source ... and **cross-checked against our own `rgsService.ts`** so our development setup
S2-C054	HIGH	COMPLIANCE	UPHELD	.github/workflows/checks.yml	`.github/workflows/checks.yml:563 and :646 (browser job), matrix at :569-600`	"runs-on: ubuntu-latest" and "run: npx playwright install chromium --with-deps" . Eleven browser legs, every one a `node scripts/*_gate.mjs`, all on the one runner OS with the one engine. Device coverage inside the gates is chromium emulati
S2-C055	HIGH	COMPLIANCE	UPHELD	OWNER_CHECKLIST.md	`OWNER_CHECKLIST.md:3-5 (the enumeration), :25-113 (the five items), :141-153 (the DONE table)`	"**The anti-forgetting document.** Rewritten 2026-07-28 to Fable's enumeration: **five things are outstanding**, and everything else that was ever on this list is DONE with its evidence path recorded below." The five are the 58 Guidelines t
S2-C056	HIGH	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:206-209 vs OWNER_CHECKLIST.md:61-65`	dossier: "**Everything in 5b onward targets the game entry `future-spinner-2`.** It is a fresh clean upload and it is the entry that will be submitted." / checklist: "**The kit is built and waiting:** `~/Desktop/FS_UPLOAD_KIT_V10/`. Follow
S2-C057	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	OWNER_CHECKLIST.md	`OWNER_CHECKLIST.md:25 (the whole document carries no date)`	the string "1 August 2026" occurs in no project record; see the grep in notes `OWNER_CHECKLIST.md:25` (the whole document carries no date)
S2-C058	HIGH	COMPLIANCE	UPHELD	frontend/src/main.ts	`frontend/src/main.ts:2-4`	`// (base spins plus a bonus buy) capturing every network request, asserting` / `// zero 404s and zero requests into any pruned legacy path.` — this script is NOT a step in `.github/workflows/checks.yml` (grepped the whole file: only `asset
S2-C059	HIGH	COMPLIANCE	UPHELD	design-system/brand/provider_mark/PROVIDER_LOGO_DERIVATION.md	`design-system/brand/provider_mark/PROVIDER_LOGO_DERIVATION.md:7, :64 and :95`	`const verdictAt = (px) => { ... const gw = tests.filter((t) => t.winner === 'g').length; return { px, tests, gWins: gw, fWins: tests.length - gw, winner: gw >= 2 ? 'g' : 'f' } }` then `const verdicts = LADDER.map(verdictAt)`: this RANKS tw
S2-C060	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/services/rgsService.ts	`frontend/src/lib/services/rgsService.ts:799-807 with frontend/src/App.svelte:1414, 1445`	Service, inside `_rgsSpinReal`, before returning: `const needsEndRound = playResp.round ? playResp.active : playResp.winMicros > 0` / `if (needsEndRound) { const endResp = await endRound(params, playResp.roundId)`. Caller: `const result: Sp
S2-C061	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/stores/betLadder.ts	`frontend/src/lib/stores/betLadder.ts:39-41 and frontend/src/lib/services/rgsService.ts:565-567, 735`	betLadder: `export const activeBetLevels = derived(rgsBetLevels, ($levels) =>` / ` $levels.length > 0 ? $levels : BET_LEVELS,` / `)`; rgsService parses then drops the limits: `minBet: microsToDisplay(config.minBet ?? 0),` / `maxBe
S2-C062	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	frontend/src/lib/stores/gameStore.ts	`frontend/src/lib/stores/gameStore.ts:7 (LOCKED)`	nothing asserts a sub-$0.10 level anywhere; `betLadder.test.ts:37` asserts the OPPOSITE floor as the expected fallback: `check('"+" DROPPED the bet to the ladder minimum', whatPlusWouldHaveDone, 0.10)` NONE (looked in `betLadder.test.ts`, `
S2-C063	HIGH	COMPLIANCE	UPHELD	frontend/src/lib/config/fsModes.ts	`frontend/src/lib/config/fsModes.ts:139 and frontend/src/lib/components/PaytableModal.svelte:337-338`	the script computes the maths-side figure per mode, `max_x = ordered[0][0]` returned as `"max_x": max_x`, reading the frozen `lookUpTable_<mode>_0.csv` tables; its committed output records `"max_x": "5000"` for all five modes (base, cruise,
S2-C064	HIGH	COMPLIANCE	UPHELD, ENUMERATION INCOMPLETE	frontend/src/lib/stores/betLadder.ts	`frontend/src/lib/stores/betLadder.ts:39-41, frontend/src/lib/services/rgsService.ts:623-633 (LOCKED, read as text), frontend/src/lib/stores/gameStore.ts:7 (LOCKED, read as text)`	500,000"` over `frontend/src`, `frontend/scripts`, `scripts`, `games/future_spinner` returns only `roundInterpreter.ts:23` `export const CENTIBET_CAP = 500_000 // 5,000.00x in centibets` (a PAYOUT cap) and RGS fixture bet levels. The only r
S2-C065	HIGH	COMPLIANCE	UPHELD	design-system/DESIGN_SYSTEM.md	`design-system/DESIGN_SYSTEM.md:7-21`	CI steps, quoted: ` - name: "browser: splash calm"` / ` run: node scripts/splash_calm_gate.mjs --self-test && node scripts/splash_calm_gate.mjs`, ` - name: "browser: turbo intensity"` / ` run: node sc
S2-C066	HIGH	COMPLIANCE	UPHELD, CAUSE UNSOUND	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:87-95`	CI steps, quoted: ` - name: machine tell gate, seeded-violation self-test` / ` working-directory: frontend` / ` run: node scripts/machine_tell_gate.mjs --self-test` and ` - name: machine tell gate, source scan` / `
S2-C067	HIGH	CENSUS	UPHELD, ENUMERATION INCOMPLETE	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:149`	`` `isAutoPlay.set(true)` has exactly two call sites in the whole codebase, both inside `` / `` `startAuto(count)` in `ControlBar.svelte:57-63` and its `HudOverlay.svelte` duplicate, `` (COMPLIANCE_WATCH.md:148-149) against `// and that occ
S2-C068	HIGH	CENSUS	UPHELD, CAUSE UNSOUND	frontend/scripts/tile_master_ingest.mjs	`frontend/scripts/tile_master_ingest.mjs:20`	The generator of the published tile master reads its input from outside the repository, in one machine's Downloads folder. The committed tile cannot be regenerated by anyone else, which is the situation convention (m) exists to prevent. CLA
S2-C069	HIGH	CENSUS	UPHELD	(unattributed)	`frontend/public/assets/themes/future-spinner/ui/hero_icon_96.png vs design-system/brand/hero_icon/hero_icon_96.png`	`LoadingScreen.svelte:82-89`: "circular crop of the emblem's wheel-and-reel core, tools/brand/ derive_hero_icon.py) as a single layer" then "`<img class=\"brand-still\" src=\"{$themeAssets.assetBase}/ui/hero_icon_96.png\" ... />`". `WRS_MAS
S2-C070	HIGH	CENSUS	UPHELD	CENSUS_MECHANICAL.md	`reports/qa/file_census/orphan_candidates.txt:1 (and CENSUS_MECHANICAL.md:60-89)`	CENSUS_MECHANICAL.md:60 `## Zero-reference candidates: 550`, then a table whose 24 rows are `frontend/public`, `design-system/brand`, `docs/reference`, `docs/assets`, `frontend/scripts`, `frontend/screens`, `tests/win_calculations`, `utils/
S2-C071	HIGH	CENSUS	UPHELD	reports/qa/file_census/CENSUS_MECHANICAL.md	`reports/qa/file_census/CENSUS_MECHANICAL.md:20`	wc -l` at HEAD is **3664**. The census says 3630, and its own class counts sum to exactly 3630 (1556+1249+534+173+91+27), so the shortfall is in the input file list, not the arithmetic. `git show --diff-filter=A --name-only HEAD` shows HEAD
S2-C072	HIGH	CENSUS	UPHELD, CAUSE UNSOUND	reports/qa/stream_test/LEDGER.md	`reports/qa/stream_test/LEDGER.md:8-10 vs reports/qa/stream_test/KNOWN_OPEN.md:41-43`	The wave's own boot document sends every squad to a ledger that does not hold what it is said to hold. KNOWN_OPEN tells squads the ledger holds 571 findings; LEDGER.md's own header says it holds two and names `shards/SHARD_INDEX.md` as the
S2-C073	HIGH	CENSUS	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:262`	The 5c table's LOCAL UPLOAD SET row states **eleven** files where seven plus five is twelve, contradicting step 3 at :236, the paragraph at :275 and the twelve-row hash table at :284 in the same section. The document's own :279 says the ele
S2-C074	HIGH	CENSUS	UPHELD	BOOKS_MANIFEST.md	`BOOKS_MANIFEST.md:32`	The same arithmetic error propagated into the manifest that the dossier calls "the bridge". Its own repo-committed row is seven, so its upload set is twelve, not 11. The harm is the one the dossier names in its own words at :281, "a first-t
S2-C075	HIGH	CENSUS	UPHELD	.github/workflows/publish-stake-engine.yml	`.github/workflows/publish-stake-engine.yml:71`	The CI publish path validates the math bundle by testing for `index.json` alone, then uploads `$MATH_PATH` from an `actions/checkout@v4` tree. The five `books_*.jsonl.zst` that `index.json` names as each mode's `events` are gitignored and u
S2-C076	HIGH	CENSUS	UPHELD, CAUSE UNSOUND	WRS_MASTER_DOCUMENT.md	`The repository's only licence file is the upstream Stake Engine MIT licence, unchanged, and it now sits over a public tree containing We Roll Spinners' original maths, art and frontend. No root document addresses it: WRS_MASTER_DOCUMENT.md:`	The repository's only licence file is the upstream Stake Engine MIT licence, unchanged, and it now sits over a public tree containing We Roll Spinners' original maths, art and frontend. No root document addresses it: `WRS_MASTER_DOCUMENT.md
S2-C077	HIGH	CENSUS	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:155 and :180-182 against reports/qa/dist_hygiene_2026-07-26.json:5-6`	Dossier:155: `Current measured size: **14.80MB** (108 files, 15,515,125 bytes) against the 25MB budget`; Dossier:180-182: `The figure above is computed by \`frontend/scripts/dist_hygiene_gate.mjs\` on the build it describes and written to \
S2-C078	HIGH	CENSUS	UPHELD	SUBMISSION_DOSSIER.md	`SUBMISSION_DOSSIER.md:159-163 against reports/qa/dist_hygiene_2026-07-26.json:29-30`	Dossier:159-163: `The 108th file is \`build-info.json\` itself, the JOB 4 provenance stamp, which records the / other 107 files and 15,514,744 bytes and is excluded from its own total for want of a / fixed point. 15,514,744 plus the stamp's
