req	verdict	proof_kind	severity	class	player_visible	source	text
REQ-104	NO_PROOF	SCRIPT_UNWIRED	HIGH	ARTEFACT	NO	`approval_guidelines_rgs_communication.md:25`	Ship only static assets; zero runtime requests to any external host, including external font, CDN, analytics or image hosts. The same line names external font downloads as the common failure and notes they log console errors.
REQ-108	NOT_MET	NONE	STREAM	ARTEFACT	YES	`approval_guidelines_rgs_communication.md:51`	The table at lines 51 to 100 is the display specification for every supported currency: for each currency code the game must render the platform's exact display token, on the platform's side of the amount (prefix for USD, CAD, JPY and most others; suffix for DKK, PLN, VND, CLP, ARS, SAR, ILS, AED, TND, OMR, QAR, XGC, XSC, XEC), matching the Example column. Header row, upstream tabs rendered as single spaces.
REQ-119	NO_PROOF	NONE	MEDIUM	ARTEFACT	NO	`rgs.md:90`	Keep currency out of round logic, bet arithmetic and outcome selection; it may change only formatting.
REQ-121	NOT_MET	NONE	HIGH	ARTEFACT	YES	`rgs.md:288`	Clamp every wager the game can submit to the authenticated minBet and maxBet, not to a hardcoded ladder.
REQ-124	NOT_MET	NONE	HIGH	ARTEFACT	YES	`rgs.md:295`	Offer bet levels starting at $0.01, $0.02, $0.05 and $0.10 rather than a $0.10 floor.
REQ-125	NOT_MET	NONE	STREAM	ARTEFACT	YES	`rgs.md:295`	Determine the game's minimum win multiplier and render win amounts with 3 decimal places if it is >= 0.1x, 4 if it is below.
REQ-126	NOT_MET	NONE	LOW	ARTEFACT	YES	`rgs.md:297`	Show the extra decimal places only while the base bet is under $0.10; above that, use normal currency precision.
REQ-127	NOT_MET	NONE	STREAM	ARTEFACT	YES	`rgs.md:297`	In-game win readouts must show the exact win amount with no rounding; the balance readout may stay at 2 decimal places.
REQ-131	NO_PROOF	NONE	MEDIUM	ARTEFACT	YES	`rgs_example.md:57`	A Vite-built frontend must set base to "./" so the bundle resolves its assets relative to the hosted game path.
REQ-132	NO_PROOF	SCRIPT_UNWIRED	STREAM	ARTEFACT	YES	`front_end_flowchart.md:22`	The client must play back the round's bookEvents strictly in the order the book supplies them, resolving each one before starting the next, so no later event (for example a win presentation) is shown ahead of an earlier one (for example the spin or reveal).
REQ-135	NO_PROOF	NONE	HIGH	ARTEFACT	NO	`terms.md:363+369`	The game's runtime behaviour must match the documentation handed to Carrot, so the docs and the build cannot diverge.
REQ-137	NO_PROOF	NONE	MEDIUM	ARTEFACT	YES	`terms.md:363+373`	No Prohibited Content anywhere in the game, including references to it; see R9-06 for the definition that binds this.
REQ-138	NOT_MET	NONE	HIGH	ARTEFACT	YES	`terms.md:112`	Audit every shipped string, symbol, sound and marketing asset against these four categories, including third-party IP infringement.
REQ-139	NOT_MET	NONE	HIGH	ARTEFACT	NO	`terms.md:363+375`	Run and record a security pass over the shipped bundle and its dependencies, and remove what it finds.
REQ-140	NO_PROOF	NONE	HIGH	ARTEFACT	YES	`terms.md:363+377`	What the player sees on the reels, in win presentation and on the paytable must be the same event the maths package emitted, with no drift between the two.
REQ-141	NO_PROOF	NONE	MEDIUM	ARTEFACT	YES	`terms.md:363+379`	The submitted title must be materially distinct from anything already uploaded, not a reskin; also blocks submitting a second near-identical build of our own.
REQ-142	NO_PROOF	NONE	STREAM	ARTEFACT	YES	`terms.md:263+273`	Nothing in the shipped game may embarrass Carrot or Stake; this is the clause a machine-generated-looking string, a placeholder or an off-brand asset would be judged under.
REQ-143	NO_PROOF	NONE	HIGH	ARTEFACT	NO	`terms.md:355`	Prove no GPL or other copyleft dependency is bundled into, compiled with or linked to the shipped build, and that every third-party licence in the tree is complied with.
REQ-146	NO_PROOF	NONE	HIGH	ARTEFACT	NO	`terms.md:666`	The shipped game must not collect, store or transmit player personal data to us: no studio-side analytics, telemetry or logging endpoint carrying player data.
REQ-147	NO_PROOF	NONE	STREAM	ARTEFACT	YES	`giveaway_terms.md:46`	The submitted game must be original, guideline-compliant, non-infringing and free of unlawful, offensive or defamatory content; the competition rules re-impose the terms' content standard as an entry condition.
REQ-149	NO_PROOF	NONE	HIGH	PROCESS	NO	`approval_guidelines.md:18`	Name the exact frontend build and maths version in the approval request, and expect approval to bind to that pair only.
REQ-150	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`approval_guidelines.md:20`	Write and submit a short theme-and-mechanics blurb alongside the approval request.
REQ-151	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`approval_guidelines.md:32`	Submit only a finished build; work-in-progress submissions are out of order.
REQ-153	NO_PROOF	NONE	HIGH	PROCESS	NO	`approval_guidelines_submission_checklist.md:18`	Clear every requirement before submitting; a partial submission is held rather than reviewed.
REQ-156	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`approval_guidelines_submission_checklist.md:32,34,35`	The build must average at least 1 star over three independent reviewers across design, gameplay and maths compliance, or it is rejected.
REQ-157	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`approval_guidelines_math_verification.md:24`	Treat the two size caps as publish-time blockers, so the size check happens before upload rather than after a failed publish.
REQ-158	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`approval_guidelines_math_verification.md:38`	Report the count of non-zero weight payouts as part of the submitted maths evidence.
REQ-164	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`approval_guidelines_game_tile_requirements.md:28`	Background plus foreground must total 3MB or less as a pair; the provider logo is not named in this cap.
REQ-169	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`approval_guidelines_game_tile_requirements.md:36`	Foreground is delivered as a high resolution PNG with a genuine alpha channel; JPG is not permitted for this asset.
REQ-170	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`approval_guidelines_game_tile_requirements.md:37`	Name the foreground file `<GameTitle>-FG.png`.
REQ-171	NO_PROOF	NONE	MEDIUM	PROCESS	YES	`approval_guidelines_game_tile_requirements.md:39`	Supply the studio's official provider logo, not the game logo or a wordmark variant.
REQ-172	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`approval_guidelines_game_tile_requirements.md:40`	Provider logo is delivered as a high resolution PNG with a genuine alpha channel (same clause as R4-20 but stated for the logo asset).
REQ-173	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`approval_guidelines_game_tile_requirements.md:41`	Name the logo file `<ProviderName>-Logo.png`, provider name first, `-Logo` suffix.
REQ-174	NO_PROOF	SCRIPT_UNWIRED	HIGH	PROCESS	YES	`approval_guidelines_game_tile_requirements.md:42`	The provider logo must stay readable when scaled down to tile size, so thin strokes and small type in the logo are a defect.
REQ-175	NO_PROOF	NONE	LOW	PROCESS	UNKNOWN	`approval_guidelines_game_tile_requirements.md:16 to :43`	Tile pixel geometry is NOT stated anywhere in this capture: no pixel dimensions, no aspect ratio, no minimum resolution number, no safe area, no colour space. The only size-adjacent clauses are "High resolution" (lines 32, 36, 40) and the 3MB combined cap (line 28). Any specific tile geometry figure must come from another source, not from this page.
REQ-176	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`rgs_example.md:68`	At submission, upload the contents of dist/ (not the folder itself) into the platform's frontend files slot.
REQ-178	NOT_MET	NONE	MEDIUM	PROCESS	NO	`terms.md:293`	Written notification to Carrot the moment we detect a defect, including ones we find ourselves after submission.
REQ-179	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`terms.md:157`	Submission is an upload to the platform for assessment against criteria Carrot sets and can change.
REQ-180	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`terms.md:167`	Do not treat an upload, a passing gate or a portal state as acceptance; only Carrot's written notice is acceptance.
REQ-181	NO_PROOF	SCRIPT_UNWIRED	MEDIUM	PROCESS	NO	`terms.md:189`	Deliver object code within 3 days of acceptance, and any updated object code within 10 days of finishing a modification or new version.
REQ-183	NO_PROOF	NONE	HIGH	PROCESS	NO	`terms.md:227`	Produce and hand over integration, operation and ongoing-management documentation; this is the same Game Documentation the artefact must conform to under R9-03 and R9-12.
REQ-185	NOT_MET	NONE	HIGH	PROCESS	NO	`terms.md:283`	Every test obligation in the agreement is a cross-OS and cross-browser matrix, not a single-browser run.
REQ-186	UNKNOWN	NONE	HIGH	PROCESS	NO	`terms.md:397+403`	Complete identity and verification document submission, otherwise no fee is payable however well the game performs.
REQ-187	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`terms.md:179`	Grant Carrot continuous real-time access to the development environment, which in practice means the repository and build environment must be presentable at any moment.
REQ-188	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`terms.md:255`	Fund and supply whatever the certification and jurisdictional-approval process asks for, where the requirement stems from our own design.
REQ-189	NOT_MET	NONE	MEDIUM	PROCESS	NO	`terms.md:385`	On any notified breach of the clause 7.1a) game standards, remediate immediately at our cost; failure to satisfy Carrot leads to deactivation and licence termination under 7.1c).
REQ-190	NO_PROOF	NONE	LOW	PROCESS	NO	`privacy.md:34+36-41`	At registration the studio must supply these six items, including an explicit 18-or-over confirmation and a declaration of individual-developer or authorised-company-representative status, plus a link to the GitHub repository.
REQ-191	NOT_MET	NONE	HIGH	PROCESS	NO	`giveaway_terms.md:40`	Three entry steps, all completed before the Closing Date: hold an account, build the game on the platform, and submit it through the platform's own submission process.
REQ-192	NOT_MET	NONE	HIGH	PROCESS	NO	`giveaway_terms.md:25`	Hard submission deadline for competition eligibility, 11:59pm AEDT 1 August 2026; entries after it are not considered, and the Promoter may move the date by publishing an update.
REQ-194	NO_PROOF	NONE	MEDIUM	PROCESS	NO	`payments.md:81`	Register exactly one payout wallet on the team settings page; without it no payout can be made.
