cluster	sev	file	path	finding_as_recorded_DO_NOT_ACT_ON_THE_CAUSE
S2-C068	HIGH	frontend/scripts/tile_master_ingest.mjs	`frontend/scripts/tile_master_ingest.mjs:20`	The generator of the published tile master reads its input from outside the repository, in one machine's Downloads folder. The committed tile cannot be regenerated by anyone else, which is the situation convention (m) exists to prevent. CLA
S2-C072	HIGH	reports/qa/stream_test/LEDGER.md	`reports/qa/stream_test/LEDGER.md:8-10 vs reports/qa/stream_test/KNOWN_OPEN.md:41-43`	The wave's own boot document sends every squad to a ledger that does not hold what it is said to hold. KNOWN_OPEN tells squads the ledger holds 571 findings; LEDGER.md's own header says it holds two and names `shards/SHARD_INDEX.md` as the
S2-C076	HIGH	WRS_MASTER_DOCUMENT.md	`The repository's only licence file is the upstream Stake Engine MIT licence, unchanged, and it now sits over a public tree containing We Roll Spinners' original maths, art and frontend. No root document addresses it: WRS_MASTER_DOCUMENT.md:`	The repository's only licence file is the upstream Stake Engine MIT licence, unchanged, and it now sits over a public tree containing We Roll Spinners' original maths, art and frontend. No root document addresses it: `WRS_MASTER_DOCUMENT.md
S2-C081	HIGH	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:308`	The live docs do publish one, and the repository already held a capture of it. `docs/stake-engine-live/rgs-communication.md` header: "resolved_url: https://stake-engine.com/docs/approval-guidelines/rgs-communication", "fetched: 2026-07-04",
S2-C085	HIGH	REPLAY_TEST_EVENTS.md	`REPLAY_TEST_EVENTS.md:66-71`	Same reality as D04-16: 31 curated rounds exist across those three modes. A tester following this table would skip local reproduction for three of the five shipped modes, including the whole `super_*` set that `frontend/src/lib/services/rou
S2-C095	MEDIUM	design-system/DESIGN_SYSTEM.md	`design-system/DESIGN_SYSTEM.md:57-58`	Opened. The only character on the base surface is an adult-proportioned helmeted racer figure in an armoured suit standing beside the hover car; no child, no child-like proportions, no toy or juvenile motif in the frame. `- Scene group (sce
S2-C098	MEDIUM	scripts/kit_build.mjs	`scripts/kit_build.mjs:3 and :90-96`	`// Builds the single-use upload kit from a FRESH CLONE, and refuses to build one`; `refuse.push('HEAD is not on the remote. The kit is built from a fresh clone, so an ' + 'unpushed commit cannot be in it and the kit would silently be older
S2-C100	MEDIUM	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:21-22`	"- **No Stake branding:** verified. No Stake trademark or themes in any shipped asset or text." / "- **No underage appeal:** verified. No child or child-like characters." `COMPLIANCE_WATCH.md:21-22`
S2-C101	MEDIUM	COMPLIANCE_WATCH.md	`COMPLIANCE_WATCH.md:32-35`	the platform)`, `written notice`, `defect notification`, `acceptance testing` over every `*.md` outside `docs/stake-engine-live/` and the register returns ZERO hits. `docs/records/WAYS_OF_WORKING.md` names four roles and three ceremonies, a
S2-C104	MEDIUM	scripts/kit_build.mjs	`scripts/kit_build.mjs:14-18 (and docs/records/upload-kit/00_READ_ME_FIRST.md:1117-1121, PART 9i step 1)`	"// Convention (o) is the structural half: \"The staging bundle is always built // from a fresh clone, never from a working machine, so the uploaded artefact is // reproducible by definition.\" Whatever is on a working machine and not in th
S2-C105	MEDIUM	OWNER_CHECKLIST.md	`OWNER_CHECKLIST.md:52-54`	Nothing defends or records the access grant: grep for `github.com/` in `WRS_MASTER_DOCUMENT.md`, `README.md` and `COMPLIANCE_WATCH.md` returns no repository URL, and no gate reads repository visibility. `checks.yml:93-94` ("push: / branches
S2-C107	MEDIUM	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:37 (section 2, PLATFORM REGISTER)`	"- Post-approval lockdown: only minor cosmetic updates after approval; NO math changes, NO new modes, NO gameplay changes. Everything ships final." no row, gate or test found for a Carrot defect notice or its remediation route
S2-C109	MEDIUM	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:24`	Configured on the platform. **ERC-20, USDT.** The address is **held offline only and is never recorded in this repository**, per the privacy rule above. Two facts from the platform's own wallet page that are worth carrying: payouts run at t
S2-C117	MEDIUM	frontend/src/lib/stores/betLadder.ts	`frontend/src/lib/stores/betLadder.ts:105-112, 123-129`	`That refusal is what makes the platform's \`minStep\`` / `hold without this module ever reading \`minStep\`: every value the panel can` / `offer came out of \`activeBetLevels\`, which is the authenticate response's own` / `\`betLevels\``;
S2-C123	MEDIUM	reports/qa/math_selfaudit_2026-07-14.md	`reports/qa/math_selfaudit_2026-07-14.md:117-131`	`check(r["unique_payouts"] >= MIN_UNIQUE_PAYOUTS, f"{name}: {r['unique_payouts']} unique payouts (< {MIN_UNIQUE_PAYOUTS})")` with `MIN_UNIQUE_PAYOUTS = 10` at line 56. This asserts a floor of ten, not the five figures the self-audit reports
S2-C216	LOW	WRS_MASTER_DOCUMENT.md	`WRS_MASTER_DOCUMENT.md:27`	Accepted at account creation. Record date if known. Re-read before submission; post-approval lockdown and removal conditions bind us. \ in-repo proof is impossible by design, see `WRS_MASTER_DOCUMENT.md:6-10`, quoted in notes
