id	sev	family	tier	verdict	self_verifying	evidence_at_head	remaining	fix_location
S2-C025	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"The swallow is still there verbatim. frontend/scripts/max_win_hold_gate.mjs:309-310: ``` const readout = (page, id) => page.locator(`[data-testid=""${id}""]`).first().innerText().catch(() => '<absent>') ``` No `throw new Error(`hud readout ...`)` anywhere in the file. The positive precondition was not added either: the comparison block now sits at :461-464 (`ok(balance0 === balance1, ...)` / `ok(win0 === win1, ...)`) with no preceding assertion on win0; `grep -n ""test(win0)""` and a scan of :455-470 show no non-empty or currency-shape check, so two `'<absent>'` reads, or two empty text nodes, still satisfy the equality. The shared half is also open: frontend/scripts/layout_fit_gate.mjs:190 is still `if (!el) continue` (same finding as S2-C024a), so the collision the row warns about has not been resolved in either direction."	Replace the `.catch(() => '<absent>')` at max_win_hold_gate.mjs:310 with a hard throw; add a `/[0-9]/.test(win0)` non-empty/currency-shaped precondition before the equality checks at :461-464; and apply the same shape to layout_fit_gate.mjs:190, coordinated with S2-C024.	frontend/scripts/max_win_hold_gate.mjs:310
S2-C028	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"None of the three driveReplay loads exist, and neither does the seed. The REQ-077 optional-parameter block now sits at frontend/scripts/replay_contract_gate.mjs:455-479 (it ends with the `no NaN in the rendered money figure` check at :478-479) and is followed immediately at :481-494 by the GUIDELINE ITEM 50 flat-multiplier block, i.e. nothing was inserted after it. Confirming greps over the whole 826-line file: `XSC` -> no hits; `'abc'` -> no hits; `amountMicros: '-` -> no hits; `mode.*strip` / `delete .*mode` -> no hits. The only amountMicros overrides are the default `'10000000'` at :113 and `'1000000000'` in the JPY load at :473, both valid. The seed roster (`grep -n ""await seed(""`) is unchanged at seven: hardcoded-mode (:616), multiplier-suppressed-at-1x (:641), figures-lost-after-play (:661), social-label-not-swapped (:684), transposed-segments (:694), leaked-authenticated-call (:70"	Add the three driveReplay loads after replay_contract_gate.mjs:479 -- (a) XSC + social=false asserting SC symbol and social vocabulary with no raw 'XSC', (b) amountMicros 'abc' and '-5' asserting the 1.00 CURRENCY_SCALE fallback and no 'NaN', (c) a mode-stripped load asserting a visible error state -- plus the convention-(p) seed for (a) using the findBundleWithTemplate/patches machinery and the seed helper at :585.	frontend/scripts/replay_contract_gate.mjs:311 (immediately after the existing REQ-077 optional-parameter block)
S2-C035	HIGH	COMPLIANCE	other	STILL_OPEN	NO	The asked-for artefact does not exist. `ls frontend/scripts/ | grep -iE 'prohibited|mechanic'` returns nothing; `find . -name '*prohibited*'` outside node_modules returns only docs/licences/google-gemini/2026-07-15/generative-ai-prohibited-use-policy.txt, unrelated. There is no frontend/scripts/prohibited_mechanic_gate.mjs. No step in .github/workflows/checks.yml (970 lines) references it. checks.yml:329-331, the recorded insertion point, is the pre-existing and different 'fsModes / index.json drift' step: - name: fsModes / index.json drift working-directory: frontend run: npx tsx src/lib/config/fsModes.drift.test.ts That gate compares fsModes.ts to games/future_spinner/library/publish_files/index.json, not to game_config.py BetModes, and it makes no prohibited-vocabulary or control-inventory assertion. Nothing else covers assertion (2): the only hit for the vocabulary across frontend/sc	The whole row. New file frontend/scripts/prohibited_mechanic_gate.mjs with all three assertions, the convention (p) seeded self-test, and the static-job step.	New file frontend/scripts/prohibited_mechanic_gate.mjs, plus a new step in the static job of .github/workflows/checks.yml near :331
S2-C036	HIGH	COMPLIANCE	documentation	STILL_OPEN	YES	"design-system/DESIGN_SYSTEM.md:8-9, the first SYSTEM LAW, is verbatim unchanged: ""- One design output: every visual asset derives from vector masters in this"" / "" directory. No external generation (Manus retired July 2026)."" `grep -n -i ""gemini|synthid|provenance|external|scene|marketing"" design-system/DESIGN_SYSTEM.md` returns only :9 (the 'No external generation' clause itself), :56 (""## SCENE, BRAND AND INSTRUMENT MASTERS (non-symbol)""), :57 (the scene_character_car.svg group) and :128 (""Backgrounds are premium static images"") - the law carries no symbols/UI vs scene/marketing split, no CLAUDE.md:316-317 or CLAUDE.md:338-341 citation, and names none of the seven provenance records. The exception it fails to admit is still on disk and still contradicts it: design-system/brand/GENERATION_NOTE_background.md:11 ""| Origin | **Externally generated, commissioned by the owner** |"", with :3-6 "	Amend the first SYSTEM LAW at design-system/DESIGN_SYSTEM.md:8-9 to carry both owner rulings - symbols and UI derive from vector masters here and are never externally designed; owner-commissioned external SCENE and MARKETING art is permitted with a recorded provenance note, per CLAUDE.md:316-317 and CLAUDE.md:338-341 - and name the seven provenance records so the exceptions are checkable.	design-system/DESIGN_SYSTEM.md:8-9
S2-C037	HIGH	COMPLIANCE	other	STILL_OPEN	YES	frontend/scripts/stake_mark_gate.mjs does not exist (`ls frontend/scripts/ | grep -i stake_mark` empty; `find . -name '*stake_mark*'` empty). No step in .github/workflows/checks.yml references it; checks.yml:348 and the lines after it are the pre-existing 'paytable parity, seeded-violation self-test' / 'paytable parity against the shipped maths' steps, with nothing inserted between them. The defect site itself is currently clean: frontend/src/lib/components/PaytableModal.svelte:62-64 reads $: disclaimerText = $tr('disclaimerBody') + ' Future Spinner\u2122 and We Roll Spinners\u2122 are trademarks of We Roll Spinners.' + ' \u00A9 2026 We Roll Spinners. All rights reserved.' with no Stake Engine template sentence. So the mark is out of that string, but the instrument the row asks for, which is what stops it coming back, is absent. Partial coverage exists and should not be mistaken for this	New file frontend/scripts/stake_mark_gate.mjs covering frontend/src/**, frontend/public/** filenames, dist/** text, the i18n tables and shipped image/audio filenames plus embedded metadata; per-line allowlist with reasons; the seeded self-test planting the Stake Engine disclaimer sentence back into PaytableModal.svelte's disclaimerText; and the static-job step.	New file frontend/scripts/stake_mark_gate.mjs, plus a new step in the static job of .github/workflows/checks.yml immediately after :348
S2-C044	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"The build-stamp block at frontend/scripts/dist_hygiene_gate.mjs:124-133 still carries only the two original checks: `check('the build stamp names a commit', /^[0-9a-f]{40}$/.test(info.commit || ''), String(info.commit))` at :126-127, and `check('the build stamp reconciles with the bundle on disk', ...)` at :128-132. Neither new assertion is present: `grep -n ""rev-parse\|cleanTree\|info.commit"" frontend/scripts/dist_hygiene_gate.mjs` returns only lines 118, 123 and 127 -- no `execSync('git rev-parse HEAD')` and no `info.cleanTree === true`. No new seeds were added either: the `seeded` array is still built at :322 from `SEEDS.map(...)` over the doc-extension list and emitted at :328-341, and the only other seed arrays are uriSeeded (:206), brandSeeded (:269) and touchSeeded (:302). The defect is live in the artefact, which is what makes the omission load-bearing: frontend/dist/build-info.j"	Add the two checks beside dist_hygiene_gate.mjs:126-131 -- `info.commit === execSync('git rev-parse HEAD')` and `info.cleanTree === true` -- and seed both into the existing `seeded` array per convention (p), including the stale-commit negative control.	frontend/scripts/dist_hygiene_gate.mjs:126-131
S2-C045	HIGH	COMPLIANCE	documentation	STILL_OPEN	YES	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md is 192 lines at HEAD and none of the four asked-for changes is present. (1) The summary at :170-179 still reads PASS 31 / OBSERVE 14 / OWNER '7 by the rows, not 8' / FAIL 3 (items 15, 25, 46) / CONFLICT 1 (item 12) / N/A 1, not the asked-for PASS 35 / OBSERVE 14 / OWNER 8 / FAIL 0 / CONFLICT 0 / N/A 1. (2) The item rows themselves are un-rederived: :75 item 12 still carries '**CONFLICT**', :83 item 15 still '**FAIL**', :103 item 25 still '**FAIL**', :144 item 46 still '**FAIL**'. Only the SUPERSEDED HEADLINE note at :23-28 asserts closure in prose; the rows and the summary it dates were never restated. (3) Both stale line citations survive verbatim: :75 reads '`rgsService.ts:797` reads `playResp.round ? playResp.active : playResp.winMicros > 0`' (asked to become :799) and :83 reads '`App.svelte:1821` gives `.game-wrapper.portrai	Everything the row asks. Re-derive items 12, 15, 25 and 46 at :75/:83/:103/:144 against HEAD and restate the :170-179 summary to PASS 35 / OBSERVE 14 / OWNER 8 / FAIL 0 / CONFLICT 0 / N/A 1 with each changed row citing its closing tracker row; correct :75 rgsService.ts:797 to :799 and :83 App.svelte:1821 to :2265; and add the rule 16 REPORTED marking at :3-6 naming the owner and 2026-07-26 as source, stating no mirror exists because the page is auth-walled, cross-referenced to COMPLIANCE_WATCH.md:62-63 and the wall captures.	docs/records/compliance/STAKE_GUIDELINES_SELF_ASSESSMENT.md:170 (the summary) and :3-6 (the source block)
S2-C048	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"frontend/package.json:6-14 lists exactly seven scripts (dev, build, preview, check, assets, qa:soak, owner:preview) and there is no ""scan"" entry: `grep -n '""scan""' frontend/package.json` returns nothing. .github/workflows/checks.yml:293-297 is still just the bare `Install frontend dependencies` step (`run: npm ci --ignore-scripts`) followed at 299-302 by `# Gate 1: type safety` / `- name: svelte-check (no new type errors)`; no step was inserted between them. Repo-wide, `grep -rn ""audit\|licen"" .github/workflows/` returns only four prose comment lines (checks.yml:20, 24, 92, 703) and zero `npm audit`, `audit-level`, or ClamAV/anti-malware invocation in any of the three workflow files (checks.yml, publish-stake-engine.yml, validate-math.yml). Nothing runs over frontend/dist after the production build. No committed dated scan record exists: `find reports -iname ""*vuln*"" -o -iname ""*malware*"	"All three parts: the `""scan"": ""npm audit --omit=dev --audit-level=high""` script at frontend/package.json:13, the matching static-job step after checks.yml:297, the anti-malware pass over frontend/dist after the production build step, and the committed dated scan output as the submission record. Separately, whether the Errors half has actually been split off to TR-115 / TR-086 is bookkeeping I could not settle: the ledger files that would record the split are on the do-not-open list. The repository-side defect above is settled regardless of how the split is recorded."	".github/workflows/checks.yml:293-297 (a new step beside ""Install frontend dependencies"") plus a script entry at frontend/package.json:13"
S2-C049	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	".github/workflows/checks.yml:297 reads `run: npm ci --ignore-scripts` (inside the `Install frontend dependencies` step at 293-297). The next non-blank content is checks.yml:299-302, the `# Gate 1: type safety, regression-only` comment and `- name: svelte-check (no new type errors)`. No vulnerability-scan step was inserted after 297. No workflow in .github/workflows/ invokes `npm audit`, `audit-level`, or any other lockfile scanner. frontend/package-lock.json is present and fully resolved (it pins the git dependency at line 2094), so there is a lockfile to scan, but nothing scans it. The ""and record"" half is also unmet: reports/qa/ contains 84 entries and none is a dependency-vulnerability record; the find for *vuln*/*npm_audit*/*dependency* under reports/ returns nothing."	The scan step after checks.yml:297 that runs against the resolved lockfile, and the committed dated artefact under reports/qa/ that a reviewer can open. Per the row this should be folded together with S2-C048's scan step as one mechanism; at HEAD neither half of that single mechanism exists.	.github/workflows/checks.yml:297 (add the scan step immediately after the static-job `npm ci`)
S2-C050	HIGH	COMPLIANCE	component_or_code	STILL_OPEN	YES	"frontend/src/lib/config/paytable_parity.test.ts is 285 lines at HEAD and carries none of the four asked-for changes. (1) The path map P at :41-47 has exactly five keys (paytableModal, fsModes, prose, gameConfig, publishDir); there is no `proseLocales` key, and `grep -n ""proseLocales"" frontend/src/lib/config/paytable_parity.test.ts` returns nothing, while frontend/src/lib/i18n/prose.locales.ts exists and holds per-locale rulesMaxWin strings (prose.locales.ts:67, :144). readAll() at :201-213 reads only the five real files. (2) proseScatter at :116-121 still reads `const m = src.match(/rulesScatterMult:\s*'([^']+)'/)`, a single `match` over `src.prose` only; the only matchAll calls in the file are at :71, :85, :97 and :119, all inside other parsers, and none runs over prose.locales.ts. There is no occurrence-count assertion. (3) `grep -n ""rulesMaxWin"" frontend/src/lib/config/paytable_parity"	All four changes. Add the proseLocales path to P and readAll; convert proseScatter to matchAll across prose.ts and prose.locales.ts with an occurrence-count equal to the locale count; add a rulesMaxWin all-occurrences parser asserting each equals _WINCAP with locale-correct separator stripping; add the three PaytableModal.svelte assertions (TRIGGER_TABLE spins vs _base_award, TRIGGER_TABLE awards vs scatter_multiplier_table, ways figure vs num_reels/num_rows); and add the two convention (p) seeds.	frontend/src/lib/config/paytable_parity.test.ts:45 (add a proseLocales path), :114-118 (matchAll instead of match, over both prose files), a new assertion block after :191, and two new seeds in the self-test block after :237
S2-C051	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"frontend/package.json:25-29 still declares the three production dependencies unaccompanied by any inventory: `""@fontsource/orbitron"": ""^5.2.8""`, `""pixi.js"": ""^7.4.3""`, `""stake-engine"": ""github:StakeEngine/ts-client""`. No inventory step exists after checks.yml:297 (see S2-C049 evidence: 297 is `npm ci --ignore-scripts`, 299 is the Gate 1 comment). No licence inventory is committed under reports/qa/: no file matching *licen* exists there. The only third-party licence document in the repo is /Users/jt/math-sdk/THIRD_PARTY_LICENSES.md, which I read in full (80 lines) - it covers ONLY the inherited Python Stake Engine math SDK (src/, utils/, optimization_program/, tests/, uploads/, setup.py, ""79 tracked files in total"") plus the verbatim MIT text. It says nothing about the npm production closure, nothing about pixi.js, nothing about the ts-client git dependency, and nothing about Orbitron. Th"	The production-closure licence inventory committed dated under reports/qa/; the regenerating, allowlist-enforcing static-job step after checks.yml:297; the LICENSE text fetched at the pinned commit df9e126d with its hash recorded beside the inventory rather than trusting the package.json field; and the OFL-1.1 attribution for Orbitron in the shipped credits.	.github/workflows/checks.yml:297 (inventory step in the static job) with the committed inventory living under reports/qa/
S2-C052	HIGH	COMPLIANCE	gate_or_ci	STILL_OPEN	YES	"The telemetry sink is still source-guarded only. frontend/src/App.svelte:206-209 reads `if (import.meta.env.DEV) {` / `const buf: TelemetryEvent[] = []` / `;(window as unknown as { __telemetry: unknown[] }).__telemetry = buf` / `setTelemetrySink(bufferSink(buf))`. (The recorded location 198-201 has drifted: at HEAD those lines are the replay-route comment block.) No static assertion over the built bundle exists: `grep -rn ""setTelemetrySink\|__telemetry"" frontend/scripts/ scripts/` returns ZERO matches, so neither of the two named fix sites carries it. frontend/scripts/dist_hygiene_gate.mjs (18116 bytes) contains no occurrence of `setTelemetrySink`, `__telemetry`, `telemetry`, or an origin/http check - its only `http` hit is line 260, a literal `'<a href=""https://stake.com/casino"">more</a>'` used as fixture text. It is wired at checks.yml:723-725 as `- name: dist hygiene, no documentation"	The whole instrument: a scan of frontend/dist/assets/*.js for `setTelemetrySink`, `__telemetry`, and any absolute http(s) origin that is not the RGS host, failing on a hit; plus the convention (p) seed that hoists the App.svelte:209 setTelemetrySink call out of the `import.meta.env.DEV` guard at 206 and proves the gate goes RED. Per the row this is the same instrument as S2-C058, and neither row's half of it exists at HEAD.	frontend/scripts/dist_hygiene_gate.mjs (add the assertion) wired at .github/workflows/checks.yml:708-710, OR wire frontend/scripts/build_diet_verify.mjs as a browser leg at checks.yml:850-853
S2-C053	HIGH	COMPLIANCE	documentation	STILL_OPEN	YES	docs/RGS_CONTRACT_REFERENCE.md:3-11 is unrewritten at HEAD. The header still leads with the community tool as the primary source, :3-6: 'An on-file reference for the Stake Engine RGS contract, extracted from the community **stake-dev-tool** source (the closest available spec of the wire protocol - it implements the contract in Rust and serves real math-sdk output), and **cross-checked against our own `rgsService.ts`** so our development setup provably aligns.' The first-party captures under docs/stake-engine-live/ (the rgs-communication and front-end-communication mirrors per COMPLIANCE_WATCH.md:57-58) are not mentioned anywhere in the header; :10 still gives the sole 'Reference source: `github.com/simnJS/stake-dev-tool`'. The phrase 'provably aligns' survives at :6. The bare date survives at :11: 'Verified 2026-07-04 against `frontend/src/lib/services/rgsService.ts`.' -- no post-PR-#103	The whole header rewrite at :3-11: lead with the docs/stake-engine-live/ first-party captures and demote stake-dev-tool to a corroborating community implementation; replace 'provably aligns' at :6 with a pointer to checks.yml's 'rgs parse alignment' job (line 546 at HEAD) running rgsService.parse.test.ts; replace the bare 'Verified 2026-07-04' at :11 with a dated, method-bearing re-verification after PR #103; and mark anything not re-checked at the new date as REPORTED per CLAUDE.md rule 16.	docs/RGS_CONTRACT_REFERENCE.md:3-11
